Adresse;Campus;Zeitraum;Menge;Einheit;Art;Versorger;Gebäude;Baujahr;Sanierung;Nettogrundfläche
Im Neuenheimer Feld 360;Campus INF;Jahr;920,63738;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6360;1960;;3608,08
Im Neuenheimer Feld 360;Campus INF;Jahr;771,171;MWh;Wärme;E.ON Energy Solutions GmbH;6360;1960;;3608,08
Im Neuenheimer Feld 370, Käthe-Lichter-Forum;Campus INF;Jahr;19,719;MWh;Strom;Pfalzwerke AG;6370;;;3682,12
Im Neuenheimer Feld 370, Kids-Club;Campus INF;Jahr;6,449;MWh;Strom;Pfalzwerke AG;6370;;;3682,12
Im Neuenheimer Feld 501;Campus INF;Jahr;430,666;MWh;Wärme;E.ON Energy Solutions GmbH;6501;1964;;1190,95
Im Neuenheimer Feld 507;Campus INF;Jahr;64,041;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6507;2017;;12901,52
Im Neuenheimer Feld 584;Campus INF;Jahr;144,585;MWh;Strom;Pfalzwerke AG;6584;;;
Im Neuenheimer Feld 700;Campus INF;Jahr;464,19136;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6700;1966;;6558,29
Im Neuenheimer Feld 700;Campus INF;Jahr;562,85157;MWh;Strom;Olympiastützpunkt / KES;6700;1966;;6558,29
Im Neuenheimer Feld 700;Campus INF;Jahr;1384,1;MWh;Wärme;E.ON Energy Solutions GmbH;6700;1966;;6558,29
Im Neuenheimer Feld 701;Campus INF;Jahr;87,4;MWh;Öl;Haisch Mineralöle;6702;;;
Mönchhofstraße 14;Campus INF;Jahr;235,557;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;7020;1962;;958,60
Mönchhofstraße 12;Campus INF;Jahr;53,24;MWh;Strom;Pfalzwerke AG;7021;1883;;737,30
Weberstraße 13;Campus INF;Jahr;3,949;MWh;Strom;Pfalzwerke AG;7030;;;229,77
Berliner Straße 48;Campus INF;Jahr;33,751;MWh;Strom;Pfalzwerke AG;7050;1953;;2184,35
Berliner Straße 48;Campus INF;Jahr;198,532;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;7050;1953;;2184,35
Philosophenweg 12;Campus INF;Jahr;691,3401515;MWh;Gas;Pfalzwerke AG;8010;1913;;5870,91
Philosophenweg 12;Campus INF;Jahr;411,889;MWh;Strom;Pfalzwerke AG;8010;1913;;5870,91
Albert-Überle-Straße 3-5;Campus INF;Jahr;277,947;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;8021;1963;;271,36
Albert-Überle-Straße 2;Campus INF;Jahr;43,563;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;8030;1912;;654,01
Philosophenweg 16;Campus INF;Jahr;149,1760161;MWh;Gas;Pfalzwerke AG;8050;1913;;1062,86
Philosophenweg 19;Campus INF;Jahr;76,38040746;MWh;Gas;Pfalzwerke AG;8080;1924;;943,50
Philosophenweg 19;Campus INF;Jahr;38,91;MWh;Strom;Pfalzwerke AG;8080;1924;;943,50
Ziegelhäuser Landstraße 17;Campus INF;Jahr;176,9111111;MWh;Öl;Haisch Mineralöle;8140;1733;;1238,70
Ziegelhäuser Landstraße 17;Campus INF;Jahr;29,178;MWh;Strom;Pfalzwerke AG;8140;1733;;1238,70
Notstromaggregat Grabengasse 14-16;Campus Altstadt;Jahr;5,788888889;MWh;Öl;Haisch Mineralöle;Notstrom 2100;1978;;
Notstromaggregat Mathematikon;Campus INF;Jahr;40,48888889;MWh;Öl;Haisch Mineralöle;Notstrom 6205;2014;;
Notstromaggregat INF 227;Campus INF;Jahr;14,24444444;MWh;Öl;Haisch Mineralöle;Notstrom 6227;2002;;
Notstromaggregat Chemische Institute;Campus INF;Jahr;17,3;MWh;Öl;Haisch Mineralöle;Notstrom 6270;1954;;
